Celltype;Condition;Sex;Gene;
Monocytes;Unstimulated;Female;CCL3;
Monocytes;Unstimulated;Female;HS3ST3B1;
Monocytes;Unstimulated;Female;BHLHE40;
Monocytes;Unstimulated;Female;MAFB;
Monocytes;Unstimulated;Female;RREB1;
Monocytes;Unstimulated;Female;FEM1B;
Monocytes;Unstimulated;Female;THBS1;
Monocytes;Unstimulated;Female;CAMK1;
Monocytes;Unstimulated;Female;PDK4;
Monocytes;Unstimulated;Female;STAB1;
Monocytes;Unstimulated;Female;MT1F;
Monocytes;Unstimulated;Female;MT1E;
Monocytes;Unstimulated;Female;ITGB8;
Monocytes;Unstimulated;Female;SERPINB9;
Monocytes;Unstimulated;Female;CCL4;
Monocytes;Unstimulated;Female;MMP14;
Monocytes;Unstimulated;Female;MYO1G;
Monocytes;Unstimulated;Female;LSS;
Monocytes;Unstimulated;Female;PTPN1;
Monocytes;Unstimulated;Female;PTPN2;
Monocytes;Unstimulated;Female;C3;
Monocytes;Unstimulated;Female;ATP2C1;
Monocytes;Unstimulated;Female;IRAK2;
Monocytes;Unstimulated;Female;SEMA4B;
Monocytes;Unstimulated;Female;HCK;
Monocytes;Unstimulated;Female;ST3GAL2;
Monocytes;Unstimulated;Female;VTI1A;
Monocytes;Unstimulated;Female;JDP2;
Monocytes;Unstimulated;Female;FMNL2;
Monocytes;Unstimulated;Female;MPZL1;
Monocytes;Unstimulated;Female;NR1H3;
Monocytes;Unstimulated;Female;GPR137B;
Monocytes;Unstimulated;Female;FNIP2;
Monocytes;Unstimulated;Female;FOXO3;
CD4 Naive;Unstimulated;Female;SUN1;
CD4 Naive;Unstimulated;Female;STAT1;
CD4 Naive;Unstimulated;Female;IFIT1;
CD4 Naive;Unstimulated;Female;IFIT3;
CD4 Naive;Unstimulated;Female;HERC6;
CD4 Naive;Unstimulated;Female;TRIM21;
CD4 Naive;Unstimulated;Female;IRF9;
CD4 Naive;Unstimulated;Female;DTX3L;
CD4 Naive;Unstimulated;Female;APOL6;
CD4 Naive;Unstimulated;Female;IDH2;
CD4 Naive;Unstimulated;Female;CMTM8;
CD4 Naive;Unstimulated;Female;TYMP;
CD4 Naive;Unstimulated;Female;TMEM140;
CD4 Naive;Unstimulated;Female;IRF1;
CD4 Naive;Unstimulated;Female;TRAFD1;
CD4 Naive;Unstimulated;Female;PTPN1;
CD4 Naive;Unstimulated;Female;FCHSD2;
Cytotoxic T/NK cells;Unstimulated;Female;IFIT3;
Cytotoxic T/NK cells;Unstimulated;Female;HERC6;
Cytotoxic T/NK cells;Unstimulated;Female;TYMP;
Cytotoxic T/NK cells;Unstimulated;Female;TRAFD1;
Cytotoxic T/NK cells;Unstimulated;Female;NUB1;
Cytotoxic T/NK cells;Unstimulated;Female;DRAP1;
Cytotoxic T/NK cells;Unstimulated;Female;IRF1;
Cytotoxic T/NK cells;Unstimulated;Female;TRIM26;
B cells;Unstimulated;Female;PARP14;
B cells;Unstimulated;Female;TMBIM1;
B cells;Unstimulated;Female;APOL6;
B cells;Unstimulated;Female;DTX3L;
B cells;Unstimulated;Female;IL15RA;
B cells;Unstimulated;Female;IRF1;
B cells;Unstimulated;Female;RNF213;
B cells;Unstimulated;Female;MAP4;
B cells;Unstimulated;Female;GBP5;
B cells;Unstimulated;Female;HERC6;
B cells;Unstimulated;Female;ANK3;
Memory T cells;Unstimulated;Female;CMTM7;
Memory T cells;Unstimulated;Female;SLFN11;
Memory T cells;Unstimulated;Female;RSAD2;
Memory T cells;Unstimulated;Female;STAT1;
Memory T cells;Unstimulated;Female;DTX3L;
Memory T cells;Unstimulated;Female;TYMP;
Memory T cells;Unstimulated;Female;ISG20;
Memory T cells;Unstimulated;Female;NUB1;
Memory T cells;Unstimulated;Female;IRF1;
Memory T cells;Unstimulated;Female;EIF2AK2;
Memory T cells;Unstimulated;Female;HSH2D;
Memory T cells;Unstimulated;Female;SFMBT2;
Memory T cells;Unstimulated;Female;IRF9;
Memory T cells;Unstimulated;Female;IKZF1;
Memory T cells;Unstimulated;Female;ERAP2;
Memory T cells;Unstimulated;Female;IL12RB2;
Memory T cells;Unstimulated;Female;TRAFD1;
Memory T cells;Unstimulated;Female;PTPN1;
Memory T cells;Unstimulated;Female;HERC6;
Memory T cells;Unstimulated;Male;DNM3;
Memory T cells;Unstimulated;Male;JAML;
Memory T cells;Unstimulated;Male;CYTH3;
Memory T cells;Unstimulated;Male;CDHR3;
Memory T cells;Unstimulated;Male;RSAD2;
Memory T cells;Unstimulated;Male;IFIT1;
Memory T cells;Unstimulated;Male;IFIT3;
Memory T cells;Unstimulated;Male;PLSCR1;
Memory T cells;Unstimulated;Male;OAS1;
Memory T cells;Unstimulated;Male;XAF1;
Memory T cells;Unstimulated;Male;SAMD9L;
Memory T cells;Unstimulated;Male;SPATS2L;
Memory T cells;Unstimulated;Male;DTX3L;
Memory T cells;Unstimulated;Male;TRAFD1;
Memory T cells;Unstimulated;Male;SMCHD1;
CD8 Naïve;Unstimulated;Female;HERC6;
CD8 Naïve;Unstimulated;Female;UBE2L6;
CD8 Naïve;Unstimulated;Female;TYMP;
CD8 Naïve;Unstimulated;Female;CDHR3;
B cells;Unstimulated;Male;XRN1;
B cells;Unstimulated;Male;TMEM87B;
